LEMMA,TAG,PRECEDING,CONSTRUCTION,FOLLOWING,CONSTRUCTION_NAME,CONSTRUCTION_DETAILS,PERSONAL_NAME,ANIMACY (PSR),ANIMACY (PSE),ALIENABILITY,POSSESSIVE (?),,Word order,,,
sök,nvfe,þótti sem konungur væri heiftrækur um smærri hluti en þá er Kálfur hafði gert til,saka,við Harald konung,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,Þá bjó Már Glúmsson í Fornhaga og hafði þar látið kirkju gera og var Glúmur þar jarðaður og svo Már þá er hann andaðist og mart annarra,manna,því að langa hríð var engi kirkja í Hörgárdal nema sú ein,gen,na,,N,Y,Abs,PART - mart,,,,,
land,nhfe,en hann kveðst ætla að berjast við Sæmund til,landa,,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkee,En er Gregoríus var skammt norður kominn þá mætti hann þeim Símoni skálp og Halldóri Brynjólfssyni og Gyrði Ámundasyni fóstbróður Inga,konungs,,gen,s,+PN,Y,Y,N,,,2,,,
fé,nhee,En Böðvari þótti Vigdís eiga heimila viðtöku og varðveislu þess hluta fjár er Þórir bróðir hennar hafði átt í félagi við Þorlaugu en til þess að sæst væri á málið þá vildi hann að Vigdís hefði þriðjung alls,fjár,til eiginorðs við Pál,pre-gen,til,,N,N,Abs,PART (?),,,,,
leið,nvee,» « Því mun eg eigi til,leiðar,koma,pre-gen,til,,,,,X,gov (til),,,,
skip,nhee,» Sprettur upp síðan og snýr þegar til,skips,síns og fór austur í Vík og drap þar konungs mann,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkee,Með honum fæddust upp synir Haralds,konungs,,gen,s,+PN,Y,Y,N,,,2,,,
sonur,nkee,» Þá hefur karl upp kvæðið og kveður framan til miðs og þykir jarli lof í hverri vísu og finnur að þar er getið og í framaverka Eiríks,sonar,hans,gen,til,+PN,Y,Y,N,,,2,,,
konungur,nkee,Skyldu þeir ráða fyrir því liði er víkingar höfðu þangað haft til,konungs,en Álfgeir sjálfur hafði þá enn forráð síns liðs,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,veit og að Þórður þarf,manna,við,gen,na,,,,,X,gov (verb),,,,
land,nheþ,En þótt þú sért vel búinn að hreysti og allri atgervi þá hefir þú ekki til þess gæfu að halda til jafns við Harald konung er engum hefir öðrum enst hér í,landi,þótt áður hafi haft ríki mikið og fjölmenni,pre-dat,í,,,,,X,,,,,
bóndi,nkee,Hún sagði að hún þyrði eigi « fyrir reiði og grimmleik,bónda,míns Ásbjarnar,gen,a,+PN,Y,N,Abs,,,1,,,
bær,nkfþ,En skálabúnað hefir þú eigi svo góðan að eigi sé þvílíkur á öðrum,bæjum,,pre-dat,á,,N,N,Y,,,,,,
bær,nkeþg,Þá sáu þeir ljós mikið fara úr austri í móti sér frá,bænum,á Eyri,pre-dat,frá,+PN,Y,Y,N,,,,,,
maður,nkfe,Hafði konungur fimm skip og þrjú hundruð,manna,og hélt inn eftir firði,gen,na,,,,,PART - 300,,,,,
orð,nhfe,» Þá segir konungur og tók hóglega til,orða,,pre-gen,til,,,,,X,gov (til),,,,
fundur,nkee,» Síðan skiljast þeir bræður og fer Þorkell til,fundar,við þá Börk,pre-gen,til,,,,,X,gov (til),,,,
skip,nhee,Þórhallur reið til,skips,og fann Þorgaut,pre-gen,til,,,,,X,gov (til),,,,
bóndi,nkee,dökkur og illilegur í ásjónu og mælti svo til,bónda,með sorgfullri og skjálfandi raust,pre-gen,til,,,,,X,gov (til),,,,
bær,nkeþ,Hann bjó á þeim,bæ,er að Hofi hét,pre-dat,á,,,,,X,,,,,
konungur,nkee,Ketill var mikill maður og fríður sýnum og hann var frændi,konungs,,gen,s,,Y,Y,Y,,,2,,,
skip,nhfeg,Allur búnaður,skipanna,var hinn glæsilegsti,gen,DEF-nna,,N,N,N,,,2,,,
vetur,nkeþ,Hann andaðist úr sótt á hinum sjöunda,vetri,hins sjöunda tigar aldurs síns,pre-dat,á,,,,,X,,,,,
eyvindar,nkee-s,Þar fékk Þorsteinn Þuríðar dóttur,Eyvindar,austmanns,gen,ar,+PN,Y,Y,N,,,2,,,
sverð,nheþ,Í þessu kom maður í stofuna bláklæddur og hélt á brugðnu,sverði,,pre-dat,á,,,,,X,,,,,
hús,nheþ,Mun eg nú fara frá,húsi,í dag og gildra til veiða nokkurra,pre-dat,frá,,,,,X,,,,,
maður,nkfe,En oft höfum vér séð hár,manna,heilt og ósakað,gen,na,,Y,N,N,,,2,,,
bær,nkeþg,Ganga þeir Torfi og Hallgrímur þangað sem útganga var á,bænum,,pre-dat,á,,,,,X,,,,,
hönd,nveþ,Hann hafði þann búnað jafnan að hann var gyrður sverði og hafði ruddu mikla í,hendi,er menn kalla klubbu,pre-dat,í,,Y,N,Y,,,,,,
sök,nvfþ,En þér handsalið niðurfall að,sökum,,pre-dat,að,,,,,X,,,,,
skip,nheþ,Þorkell hafði og mikinn drykk á,skipi,sínu,pre-dat,á,,,,,X,,,,,
hönd,nvfe,Hann biður nú Guðríðar til,handa,Grími,pre-gen,til,,Y,Y,N,,,,,,
bær,nkeþ,Þeir komu síð um kveld að,bæ,þeim er Sokki svaf að um nætur og Sóti bróðir hans,pre-dat,að,,,,,X,,,,,
konungur,nkee,» Þá var runnið eftir þeim er flóttann ráku og sagt þeim fallið Brjáns,konungs,,gen,s,+PN,Y,N,Abs,,,2,,,
leið,nveþ,Þá er á,leið,haustið sótti Ólafur konungur norður í Þrándheim og hélt liði sínu til Niðaróss,pre-dat,á,,,,,X,,,,,
bær,nkeþ,Hann bjó á þeim,bæ,er heitir í Holti og er síðan kallað í Dufþaksholti,pre-dat,á,,,,,X,,,,,
skip,nheþg,» Steyptist Búi þá utanborðs með kisturnar og margir hans menn hljópu þá fyrir borð en sumir féllu á,skipinu,því að eigi var gott griða að biðja,pre-dat,á,,,,,X,,,,,
þing,nheþ,En er þeir véltu um dóminn á,þingi,þá gekk biskup til dóms við staf og stólu og fyrirbauð þeim að dæma prestinn en þeir dæmdu eigi að síður,pre-dat,á,,,,,X,,,,,
faðir,nkee,,föður,Bárðar,gen,ur,+PN,Y,?,?,,,2,,,
bróðir,nkfe,Þorkell Súrsson var skartsmaður mikill og ofláti og vann ekki fyrir búi þeirra,bræðra,en Gísli vann nótt með degi,gen,a,,Y,N,N,,,2,,,
vetur,nkfe,Þeir tóku fé allt er heima var og langskip hálfþrítugt er Einar átti og son hans fjögurra,vetra,gamlan er lá hjá verkmanni hans,gen,a,,,,,PART - 4,,,,,
þorbjörn,nkee-s,Börkur son,Þorbjarnar,Sigurðarsonar stóls vó að honum,gen,ar,+PN,Y,Y,N,,,2,,,
vetur,nkfe,Með þeim var þá að fóstri og uppfæðslu Jón Loftsson og var ellefu,vetra,gamall,gen,a,,,,,PART - 11,,,,,
tíðindi,nhfe,Bræður hans voru á þingi er þetta var,tíðinda,og gerðu útferð Þorleifs sæmilega og erfðu hann að fornum sið en Ásgeir faðir þeirra var þá litlu andaður,gen,a,,,,,X,gov (verb),,,,
mál,nhee,» Nú er þar til,máls,að taka að Bergþórshvoli að þeir Grímur og Helgi fóru til Hóla,pre-gen,til,,,,,X,gov (til),,,,
ferð,nvee,þeir er til,ferðar,réðust með honum,pre-gen,til,,,,,X,gov (til),,,,
þing,nheþ,Þeir voru staddir á,þingi,því og héldu svörum upp af hendi þeirra Dæla og báru þá undan sökum,pre-dat,á,,,,,X,,,,,
maður,nkfe,Það var mál,manna,að það mannval er á Orminum var bar eigi minna af öðrum mönnum um fríðleika og afl og fræknleik en Ormurinn af öðrum skipum,gen,na,,Y,N,Abs,,,2,,,
land,nheþ,Og um kveldið er á leið létu þeir frá,landi,,pre-dat,frá,,,,,X,,,,,
hönd,nveþ,» Ólafur konungur dró gullhring af,hendi,sér og gaf Óttari,pre-dat,af,,,,,X,,,,,
konungur,nkee,Síðan töluðu þeir hvern þeir skyldu til,konungs,taka,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkee,Þeir skulu þá ganga um allar pólútir,konungs,þar sem féhirslur hans eru og skal hver þá eignast að frjálsu er höndum kemur á,gen,s,,Y,N,Y,,,2,,,
hönd,nveþ,Krækil hafði hann í,hendi,og hljóp svo úti um daga,pre-dat,í,,,,,X,,,,,
hönd,nveþ,En er þeir knjáðu þetta mál milli sín þá staðfestist það helst með þeim að þeir sjálfir skyldu eigi fara en hver þeirra skyldi gera mann af,hendi,sinni,pre-dat,af,,,,,X,,,,,
hestur,nkfþ,Var þá hrundið fram borðunum og hljópu menn þá til vopna og herklæddust en sumir leituðu að,hestum,,pre-dat,að,,,,,X,,,,,
maður,nkee,Þá gaf konungur honum lends,manns,nafn og var Brynjólfur hinn mesti vinur konungs alla stund,gen,s,,Y,N,Y,,,2,,,
skip,nhfe,Þeir bera fé þetta til,skipa,,pre-gen,til,,,,,X,gov (til),,,,
mál,nheþ,« Hér eru þeir menn er svara munu málinu fyrir Óspak og hefir þú rangt til búið og eru spjöll á,máli,,pre-dat,á,,,,,X,,,,,
skip,nhee,Erlingur skakki lagði að skipi Hákonar konungs og stakk stafni að milli og Sigurðar,skips,,gen,s,,Y,N,Abs,,,1,,,
maður,nkfe,Guðbrandur sat í öndvegi og var fátt,manna,í stofunni,gen,na,,,,,PART - fatt,,,,,
maður,nkfe,Til þess er hann fallinn allra,manna,best,gen,na,,Y,N,Abs,,,2,,,
hús,nhfþ,Var það brott frá öðrum,húsum,,pre-dat,frá,,,,,X,,,,,
konungur,nkee,En eg hefi verið hér til engi vinur,konungs,þessa,gen,s,,Y,Y,Abs,,,2,,,
hestur,nkfþ,Hafið þið borið hey frá,hestum,vorum,pre-dat,frá,,,,,X,,,,,
konungur,nkee,Hún andaðist tveimur vetrum eftir andlát Knúts,konungs,föður síns,gen,s,,Y,N,Abs,,,2,,,
lið,nhee,En er hann spurði að mikill hluti,liðs,var frá þeim farinn þá hélt hann sínum her aftur til Sjálands og lagðist í Eyrarsund með allan herinn,gen,s,,N,Y,Abs,PART - mikill hlutir,,,,,
konungur,nkeeg,« Vera kann þá að eg hafi þá ekki varlega mælt ef þú ert systurson,konungsins,Rygja,gen,DEF-ins,,Y,Y,N,,,2,,,
konungur,nkee,Magnús sonur Haralds,konungs,stýrði skipi því er neðast lá í móðunni og næst út vatninu,gen,s,+PN,Y,Y,N,,,2,,,
tíðindi,nhfe,Það varð til,tíðinda,um aftaninn er myrkt var og þeir Þórálfur ætluðu til rekkna búast þá gekk Þórálfur á land upp og annar maður með honum,pre-gen,til,,,,,X,gov (til),,,,
vor,nheþ,« Akra-Þórir gaf mér hafra þessa á,vori,til liðs sér er þú hafðir stefnt honum en nú var markað fyrir féránsdóma og á eg hafrana,pre-dat,á,,,,,X,,,,,
maður,nkeþg,Guðmundur Ásbjarnarson brá sverði og hljóp upp og spurði hver á,manninum,hafði unnið,pre-dat,á,,,,,X,,,,,
kostur,nkfþ,« Er það og líkara um föður minn og aðra höfðingja þá sem frændur mínir eru nánir að þeir séu eigi að strangari í að gera þinn vilja að eg sé í yðru valdi í góðum,kostum,,pre-dat,í,,,,,X,,,,,
konungur,nkee,» Þá gekk Sighvatur til kirkju og vakti klokkarann og bað hann hringja fyrir sál hirðmanna,konungs,og nefndi mennina,pre-gen,til,,Y,Y,Y,,,,,,
faðir,nkee,,föður,Þorgerðar,gen,ur,,Y,Y,N,,,2,,,
maður,nkfe,Leitið yður nú heldur vaskra,manna,dæma þeirra er vel fylgdu Sverri konungi eða öðrum höfðingjum,gen,na,,,,,X,gov (verb),,??,,
vetur,nkfe,En með því að eftirmálið varð eigi svo sæmilegt sem líklegt þótti um svo mikinn höfðingja sem Arnkell var þá færðu landsstjórnarmenn lög á því að aldrei síðan skyldi kona vera vígsakaraðili né yngri karlmaður en sextán,vetra,og hefir það haldist jafnan síðan,gen,a,,,,,X,gov (síðan),,,,
bú,nhee,» Skilja nú eftir þetta og fer Gísli heim til,bús,þess er Ari hefir átt,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkeþ,er allra manna var vaskastur og mest virður af,konungi,,pre-dat,af,,Y,N,Abs,,,,??,,
sonur,nkfþ,Nú er að segja frá,sonum,Höskulds,pre-dat,frá,,N,Y,Abs,,,,,,
land,nheþg,en Þórólfur kvað drjúpa smjör af hverju strái á,landinu,,pre-dat,á,,,,,X,,,,,
maður,nkfe,Þar var þá Þjóðólfur og margt annarra,manna,,gen,na,,,,,PART - mart,,,,,
orð,nhfe,Hann tók til,orða,illu heilli og mælti og sá í himininn upp,pre-gen,til,,,,,X,gov (til),,,,
sök,nvfþ,Veitti Finnur Kálfi jafnan harðar átölur af þeim,sökum,,pre-dat,af,,,,,X,,,,,
tíðindi,nhfe,Þá spurði hvor þeirra annan,tíðinda,eða hvar Hreiðar hefði verið um veturinn en hann lést á Íslandi verið hafa,gen,a,,,,,X,gov (verb),,,,
maður,nkfþ,Tóku þeir þá það ráðs að þeir skyldu ríða norður á sveitir að nokkrum þeim,mönnum,er í sökum væru við Sturlunga,pre-dat,að,,,,,PART - nokkrum,,,,,
þing,nhee,Setti hann þá það í lögum að til þess,þings,skyldu sækja Upplendingar og Heiðsævislög skyldu ganga um öll fylki á Upplöndum og svo víða annars staðar sem síðan hafa þau gengið,pre-gen,til,,,,,X,gov (til),,,,
tíðindi,nhfe,En hin fyrstu misseri var það til,tíðinda,að þá var veginn Ingimundur Jónsson bróðir Karls ábóta og þau misseri fór Páll Þórðarson úr Vatnsfirði og Sveinn Sturluson með honum með fjölmenni til Helgafells og tóku Hallgerði Runólfsdóttur og Valgerði dóttur hennar,pre-gen,til,,,,,X,gov (til),,,,
land,nheþ,Er sá og nú minn sonur eigi hér á,landi,er eg hygg að þeirra verði mestur maður,pre-dat,á,,,,,X,,,,,
maður,nkfe,skyldu þar koma með þrjá tigu,manna,hvorir,gen,na,,,,,PART - 30,,,,,
faðir,nkee,Skalt þú því Þorgeiri koma í málið að Gunnar hefir vegið,föður,hans áður og er þið eruð á einum fundi báðir þá skalt þú hlífa þér en hann mun ganga fram vel og mun Gunnar vega hann,gen,ur,,,,,X,gov (verb),,??,,
hönd,nvfe,Var til þess mælt að Snorri skyldi ríða til þings og hafa Tuma með sér og sjá sættir og föðurbætur honum til,handa,,pre-gen,til,,Y,Y,N,,,,,,
maður,nkfe,Karl sat á Upsum lengi ævi og er það sumra,manna,sögn að hann hafi utan farið og aukið þar ætt sína en fleiri segja hann hafi átt Ragnhildi Ljótólfsdóttur og mörg börn með henni,gen,na,,,,,PART - sumra,,,,,
sök,nvfþ,Tóku þeir þá það ráðs að þeir skyldu ríða norður á sveitir að nokkrum þeim mönnum er í,sökum,væru við Sturlunga,pre-dat,í,,,,,X,,,,,
bú,nhee,Kolgrímur í Bjarnarhöfn lagði til,bús,við Þorgils fimm kúgildi,pre-gen,til,,,,,X,gov (til),,,,
kveld,nheþ,Var þá komið að,kveldi,og sagði víslega að Grettir væri dauður og sagði að mikill skaði væri eftir þvílíkan mann,pre-dat,að,,,,,X,,,,,
móðir,nvee,,móður,Þorgeirs að Ljósavatni,gen,ur,,Y,Y,N,,,2,Phrase?,,
kostur,nkeþ,En mig grunar að það sé að öðrum,kosti,,pre-dat,að,,,,,X,,,,,
hús,nheþ,fór þá sömu nátt upp um hérað að erindum sínum en leið hans lá allsnemma um morguninn hjá því sama,húsi,er hinir fátæku menn voru inni,pre-dat,hjá,,,,,X,,,,,
maður,nkfe,Með ráði Gissurar tók lögsögu á því sumri Teitur Einarsson og allra þeirra,manna,er þá voru á þingi,gen,na,,,,,PART - sumra,,,,,
þorbjörn,nkee-s,dóttir,Þorbjarnar,hins gaulverska,gen,ar,+PN,Y,Y,N,,,2,,,
maður,nkfe,mikill og sterkur svo að hann hafði fjögurra,manna,megin,gen,na,,,,,PART - 4,,,,,
maður,nkfe,Bróðir sá nú að liðið Brjáns konungs rak flóttann og var fátt,manna,hjá skjaldborginni,gen,na,,,,,PART - fatt,,,,,
ráð,nhfe,Síðan sagði Þorsteinn jarli að hann mundi til,ráða,,pre-gen,til,,,,,X,gov (til),,,,
hestur,nkeeg,Þeir fóru að leita,hestsins,því að þar voru miklir skógar um alla hlíðina,gen,DEF-ins,,,,,X,gov (verb),,,,
skip,nhfe,fjöldi,skipa,af Noregi,gen,a,,N,N,Abs,,,2,,,
konungur,nkee,Þórður Sturluson kom utan og fór til konungs og var þar vígður til prests og varð síðan hirðprestur Magnúss,konungs,og fékk mikla virðing og andaðist þar,pre-gen,til,+PN,Y,Y,Y,,,,,,
móðir,nvee,En Snorri vildi að hann hefði Borgarland og þar með annað fé,móður,sinnar en dró undan sitt fé,gen,ur,,Y,N,Abs,,,2,,,
maður,nkfe,hét því að Einar skyldi vera mestur og göfgastur ótiginna,manna,í Noregi meðan hans vald stæði yfir landi,gen,na,,Y,N,Abs,,,2,,Categorical,
kveld,nheþ,Kemur hann að,kveldi,til Eysteins og varð þeim margt talað og ræddu um hinar og aðrar tiltekjur er Björn ætlaði að hafa,pre-dat,að,,,,,X,,,,,
maður,nkfe,« að þig fýsi að kanna annarra,manna,siðu,gen,na,,Y,N,Abs,,,1,,,
kveld,nheþ,Lúcíumessu að,kveldi,töluðust við tveir menn er þar sátu,pre-dat,að,,,,,X,,,,,
land,nheþ,En er saman dró með þeim þá sneru þeir Hrærekur að,landi,og hljópu þar upp á land allir nema konungur settist upp í lyftingina,pre-dat,að,,,,,X,,,,,
faðir,nkee,,föður,Kolskeggs hins fróða og Ingileifar,gen,ur,,Y,?,?,,,2,,,
maður,nkfe,Hann býst heiman og fer norður til Skagafjarðar við þrjá tigi,manna,,pre-gen,til,,,,,PART - 30,,,,,
hús,nheþ,Grettir kveðst geymt hafa í,húsi,eftir vanda,pre-dat,í,,,,,X,,,,,
bróðir,nkfe,Gekk Haki konungur fram svo hart að hann felldi alla þá er honum voru næstir og að lyktum felldi hann Eirík konung og hjó niður merki þeirra,bræðra,,gen,a,,,,,X,gov (verb),,,,
faðir,nkee,« Ekki fer eg lengra og er hér nú hellirinn Surts,föður,míns,gen,ur,+PN,Y,N,Y,,,2,,,
tíðindi,nhfe,fann Jökul og spyr,tíðinda,,gen,a,,,,,X,gov (verb),,,,
fundur,nkeþ,Þormóður segir frá,fundi,þeirra Kolbaks og áverka þeim er hann hafði fengið,pre-dat,frá,,,,,X,,,,,
maður,nkfe,Nú vil eg senda honum gjafir en ei skatt og geri eg það fyrstur minna,manna,,gen,na,,,,,PART - minna,,,,,
hönd,nvfe,Magnús biskup fékk sætta þá og hann leysti landið á Gufunesi til,handa,Atla og lagði þá mjölskuld í landið,pre-gen,til,,Y,Y,N,,,,??,,
maður,nkfe,að leita,manna,,gen,na,,,,,X,gov (verb),,,,
faðir,nkee,,föður,Steinólfs,gen,ur,,Y,Y,N,,,2,,,
ráð,nhee,« Hvað er nú til,ráðs,,pre-gen,til,,,,,X,gov (til),,,,
land,nheþ,Því næst reru þeir Þórir að,landi,,pre-dat,að,,,,,X,,,,,
konungur,nkeþ,Ætla eg að þær lyktir muni á verða að vér munum aldurtila hljóta af þeim,konungi,,pre-dat,af,,,,,X,,,,,
maður,nkfe,Hann reið til skips við þrjá tigu,manna,,gen,na,,,,,PART - 30,,,,,
skip,nheeg,En um vorið mælti Þorvaldur að þeir skyldu búa skip sitt og skyldi eftirbátur,skipsins,og nokkurir menn með fara fyrir vestan landið og kanna þar um sumarið,gen,DEF-ins,,N,N,N,,,2,,,
ferð,nvfe,Knútur konungur spurði til,ferða,þeirra konunga og svo skaða þann allan er þeir höfðu gert á ríki hans,pre-gen,til,,,,,X,gov (til),,,,
leið,nveþg,« Nú mun eg gera lykkju á,leiðinni,og nenni eg ei að ganga lengra,pre-dat,á,,,,,X,,,,,
orð,nhee,Hann aflaði sér góðs,orðs,og mikils fjár,gen,s,,,,,X,gov (verb),,,,
ráð,nhfe,Þórir bað hann til,ráða,« og er slíkt drengilegt svo röskum manni sem þú ert en eg skal koma þér úr sekt og þar með gefa þér nógt fé,pre-gen,til,,,,,X,gov (til),,,,
faðir,nkee,,föður,Egils er átti Úlfeiði dóttur Eyjólfs hins halta,gen,ur,+PN,Y,Y,N,,,2,,,
konungur,nkfe,Féll hann og á annarra,konunga,eigu,gen,a,,,,,X,gov (verb),,??,,
konungur,nkee,Óx hann upp í hirð,konungs,,gen,s,,Y,N,Abs,,,2,,,
hús,nhfþ,Og er það fréttu þeir Önundur og Öndóttssynir fóru þeir til bæjar Gríms og báru þar eld að,húsum,,pre-dat,að,,,,,X,,,,,
konungur,nkee,En er þeir Færeyingar komu á fund Ólafs,konungs,þá kallaði hann þá á tal og átti stefnu við þá,gen,s,,Y,N,Abs,,,2,,,
