,,,,,,,,,,,
Endings,,,,,,,,,,,
,sg,,pl,,,,,,,,
A (2_14),GEN,masc.st,1,,"Kint leue, darumme ne schaltu godes hilgen nicht beschimpen.",Y,N,Abs,hilgen,Y,
A (2_15),GEN,masc.st,1,,to eyner tild sat eyn fruwe in Sunte Dominicus dage,Y,N,Abs,dag,Y,
A (2_15),GEN,masc.st,2,,dat se nummer schympen wolde vppe de hilgen godes,Y,N,Abs,hilgen,Y,
A (2_16),GEN,masc.st,2,,"Kynt leue, wultu dat andere bod godes wol holden",Y,N,Abs,bot,Y,
A (2_17),GEN,masc.st,1,,"Jhesu Chiste, leuendige godes sone",Y,Y,N,son,Y,
A (2_18),GEN,masc.st,2,,Des nachtes wart se geuoret vor dat gerichte godes,Y,N,Abs,gericht,Y,
A (2_18),GEN,masc.st,2,,dat du den namen godes gerne nomen schalt vnde eren.,Y,N,N,name,Y,
A (2_18),GEN,masc.st,2,,du schalt den benediden namen godes gerne anropen,Y,N,N,name,Y,
A (2_18),GEN,masc.st,1,,de eme boren to lidene dorch godes willen,Y,N,Abs,willen,Y,
A (2_18),GEN,masc.st,2,,en hedde se de benedide name godes nicht gesterket. ,Y,N,N,name,Y,
A (2_19),GEN,masc.st,2,,weder anvechtinghe des ouelen geystes,N,N,Abs,anvechting,,
A (2_21),GEN,masc.st,2,,"Kynt leue, hirumme schaltu den namen godes gerne anropen vnde eren",Y,N,N,name,Y,
A (2_21),GEN,masc.st,2,,Du neschalt den namen dynes godes nicht vorgeues an dij nemen.,Y,N,N,name,Y,
A (2_21),GEN,masc.st,2,,", so drechstu den namen godes vorgeues.",Y,N,N,name,Y,
A (2_22),GEN,masc.st,2,,"Kynt leue, du en schalt den namen dynes godes nicht vorgeues",Y,N,N,name,Y,
A (2_22),GEN,masc.st,2,,"We dat deyt, de heut den namen godes vorgeues an sijk genomen",Y,N,N,name,Y,
A (2_23),GEN,masc.st,2,,"Kynt, leue, du enschalt den namen dynes godes nicht vorgeues hebben",Y,N,N,name,Y,
A (2_24),GEN,masc.st,2,,"Kynt leue, du en schalt den namen dynes godes nicht vorgeues",Y,N,N,name,Y,
A (2_24),DAT,masc.st,2,van,"Dar van wil ik eij wat sagen, to deme ersten male van Sunte Vincencins",Y,N,Abs,mal,Y,
A (2_25),GEN,masc.st,2,,dat ik myt der hulpe godes mer mach liden,Y,N,Abs,hulpe,Y,
A (2_25),GEN,masc.st,2,,dat ik dij vorwynnen wil vnde alle dyne pyne myt der hulpe godes.,Y,N,Abs,hulpe,Y,
A (2_26),GEN,masc.st,1,,se weren bereyt to steruene dorch godes namen,Y,N,N,name,Y,
A (2_27),GEN,masc.st,2,,Wor men den namen godes nicht en nomet,Y,N,N,name,Y,
A (2_27),GEN,masc.st,2,,vnde legeden sijk vor de vote Sunte Longinus,Y,N,Abs,bot,Y,
A (2_28),GEN,masc.st,1,,dat yd godes namen vorsaken scholde,Y,N,N,name,Y,
A (2_30),GEN,masc.st,2,,Dar na let he de marter dorch den namen godes,Y,N,N,name,Y,
A (2_30),GEN,masc.st,2,,"Mynsche, du neschalt den namen dynes godes",Y,N,N,name,Y,
A (2_31),GEN,masc.st,1,,", dat he were godes sone",Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,Ik byn de hogeste godes kracht.,Y,N,Abs,kracht,Y,
A (2_31),GEN,masc.st,1,,"Werliken, dijt ys godes sone.'",Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,"Konningk, wultu dat seen, dat ik godes sone  byn,",Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,Do mende de konningk alwares vnde helt ene vor godes sone.,Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,"Konningk, nu wil ik dij bewise, dat ik godes sone byn.",Y,Y,N,son,Y,
A (2_31),GEN,masc.st,1,,Do genk Symon  to Sunte Peteres herberge,Y,N,Y,herberg,Y,
A (2_32),GEN,masc.st,1,,"Darna, wan he so vormeten wert, dat he sprekt, he sij Christus, godes sone",Y,Y,N,son,Y,
A (2_34),GEN,masc.st,1,,", de were godes sone",Y,Y,N,son,Y,
A (3_9),GEN,masc.st,1,,so schaltu des hilgen dages gerrie,N,N,Abs,gerrie,N,
A (3_9),GEN,masc.st,1,,so schaltu des hilgen dages gerrie godes wort horen,Y,N,Abs,wort,Y,
A (3_9),GEN,masc.st,2,,", wente dat wort godes heft grote nut",Y,N,Abs,wort,Y,
A (3_10),GEN,masc.st,1,,in de kerken genk vnde horde dat godes wort,Y,N,Abs,wort,Y,
A (3_10),GEN,masc.st,1,,lat dij dijt eyn lere wesen vnde hore gerne godes wort.,Y,N,Abs,wort,Y,
A (3_10),GEN,masc.st,1,,"Kynt leue, du schalt godes wort gerne horen",Y,N,Abs,wort,Y,
A (3_10),GEN,masc.st,1,,Horstu godes wort nicht gerne,Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Dat was eyn man, de wolde godes wort nicht gerne horen",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"de wile he leuede, wolde he godes wort nicht horen.'",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Kynt leue, lat dij dijt eyn lere syn vnde hore gerne godes wort",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Kynt leue, de schalt godes wort nicht hinderen.",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Kynt leue, lat dij dijt eyn lere sin vnde nehindere godes wort nicht.",Y,N,Abs,wort,Y,
A (3_12),GEN,masc.st,1,,"Kynt leue, alle de jenne, de godes wort gerne hinderen",Y,N,Abs,wort,Y,
A (3_14),GEN,masc.st,1,,Svnte Hylarius genk vt vnde wolde ghan in dat lant predeken godes wort,Y,N,Abs,wort,Y,
A (3_14),GEN,masc.st,1,,vppe dat gij stark werden to godes denste,Y,N,Abs,denste,Y,
A (3_14),GEN,masc.st,1,,vppe dat gij stark werden to godes denste,Y,N,Abs,denste,Y,
A (3_14),GEN,masc.st,1,,vppe dat gij stark werden to godes loue,Y,N,Abs,loue,Y,
A (3_29),GEN,masc.st,1,,Do sande ene Pylatus vorbat to konninge Herodes huß,Y,N,N,hus,Y,
A (3_29),GEN,masc.st,1,,Vort to konninge Herodes huß,Y,N,N,hus,Y,
A (3_32e),GEN,masc.st,2,,wart bekart van der gaue des hilgen geistes,N,N,Abs,gaue,,
A (3_33),GEN,masc.st,1,,"vnde quam to Sunte Elseben, Sunte Johannes moder",Y,Y,N,moder,Y,
A (3_33),GEN,masc.st,2,,van der anwisinge des hilgen geistes,N,N,Abs,anwising,,
A (5_2),GEN,masc.st,1,,Godes engel Sunte Mychael ,Y,Y,Y,engel,Y,
A (5_16a),GEN,masc.st,1,,"""Ik wolde leuer wesen Herodes swin dan sin kint",Y,Y,Y,swin,Y,
A (5_16a),GEN,masc.st,1,,"Do quam de mere in de stat, dat Herodes dot were.",Y,N,Abs,dot,Y,
A (5_18),GEN,masc.st,2,,"Do dachte se, dat yd were eyn bekoringe des ouelen geystes",N,N,Abs,bekoring,,
A (6_11),DAT,masc.st,1,,"""Do at de engel van deme honege eyn deil""",N,N,Abs,deil,,
A (6_21),GEN,masc.st,2,,eyn waninge des hilgen geistes,N,N,Abs,waning,,
A (8_3),GEN,fem.st,1,,Do bekande he syner sunde eyn deil,N,N,Abs,deil,,
A (9_22),GEN,masc.st,1,,"""Godes barmherticheit ys grot…",Y,N,Abs,barmherticheit,Y,
A (9_22),GEN,masc.st,1,,"""Godes richte is grundelos.",Y,N,Abs,richte,Y,
