LEMMA,TAG,SENTENCE,,
bær,nkeeg,Urðu þeir sárir og því næst handteknir og allir bundnir,bæjarins,
bær,nkee,Er það mitt ráð að þau vinni til gagns mönnum slíkt er þau mega þangað til að þeim angrar,bæjar,eða aldur
bær,nkeeg,Hann er þar meðan þeir Börkur eru heima,bæjarins,bænum og sér hann þaðan öll tíðindi
bær,nkee,« Því em eg vanur að geyma þar undir skipreiða minn eða hví fer eigi nokkur yðar inn undir,bæjar,og rannsakið enn hér
bær,nkee,Fengu þeir sér róðrarskip það er við,bæjar,hæfi var
bær,nkeeg,» Helgi svarar,bæjarins,
bær,nkeeg,gengur síðan út með firðinum allt þar til er hann kemur,bæjarins,Lónseyri
bær,nkee,Tólf voru þau alls á,bæjar,
bær,nkeeg,Egill setur niður mjöðdrekkuna,bæjarins,
bær,nkeeg,« Slíks var von því að Hrútur er vitur,bæjarins,og vel að sér
bær,nkeeg,Björn sagði förunautum sínum að þeir skyldu varast að segja það ekki,bæjarins,ferðum sínum er þeim stæði vandræði af því
bær,nkee,Konungur var þar um nóttina sem Bæjar heita á Lesjum og setti þar fyrir presta,Bæjar,
bær,nkee,Þar voru þeir,bæjar,og töluðu þau Helgi mart og Tófa
bær,nkeeg,« Vil eg fara á,bæjarins,Ólafs konungs digra
bær,nkee-s,Það væri nú drengilegt,Bæjar,þeirra bræðra að gera þeim njósn að Sturla er í Gufudal og ætlaði að þeim
bær,nkfe,Hann sendi þegar mann til,bæja,í Vík og svo til næstu bæja
bær,nkeeg,» Svo gera þeir nú að Indriði fór heim fyrir bæn,bæjarins,en Einar kom til bæjarins á konungs fund og tekur konungur blíðlega við honum
bær,nkeeg,Um morguninn fyrir dag var hann,bæjarins,fótum
bær,nkeeg,Vildi Kálfur og synir,bæjarins,að þeir færu öllu liðinu inn til bæjarins og létu þá skeika að sköpuðu en Þorbergur vildi að fyrst væri með vægð farið og láta boð bjóða
bær,nkee,Þá er þeir Steinþór af Eyri koma til nausta,bæjar,Bakka settu þeir þar upp skip sitt og gengu þeir bræður heim til bæjar
bær,nkee-s,Þá riðu þeir til Kambs og þá Magnús grið af,Bæjar,Halls af Möðruvöllum
bær,nkee,snýr nú heim til bæjar Þorfinns með,bæjar,
bær,nkee,Það bréf skaltu láta koma á,bæjar,fyrir brjóst þér og vefja dúkinum að utan og um búk þér svo sem hann tekur
bær,nkeeg,Og er hann kom út úr,bæjarins,þá sá hann þegar fyrst skil handa sinna og allt það er nær honum var það er hann mátti sjá fyrir náttmyrkri
bær,nkeeg,Eftir það tekur Arneiður móðir hennar við,bæjarins,fyrir innan stokk og allri umsjá
bær,nkee,» Gengu þeir þá þrír bræður á eitt skip,bæjar,
bær,nkfe,Og er þau koma þar og drepa á dyr þá mælti Björn við húskarl þann er,bæja,stakkgarðinum hafði verið að hann gengi út og byði Þorsteini þar að vera ef hann væri kominn » en eg get
bær,nkee,Sokki kom á einu,bæjar,til eyjarinnar Ylfi
bær,nkeeg,Bærinn að Vatnshorni stendur skammt,bæjarins,vatninu fyrir sunnan ána
bær,nkee-s,Klængs,Bæjar,var geymt eftir í Reykjaholti
bær,nkee,Sumt lið,bæjar,fór til bæjar Ingjalds og lögðu þar eld í hús
bær,nkeeg,Ketilbjörn hljóp á steininn og gat eigi festan sig,bæjarins,steininum
bær,nkeeg,Þormóður tekur öxi sína og hleypur á skipið og rær,bæjarins,landi og stefnir til bæjarins í Vík
bær,nkee,reru þeir báðum skipunum inn til,bæjar,og gengu upp til bæjar í Tungu og brutu þar upp hús
bær,nkee,Gengu þeir þá til bæjar og var þeim sagt að Þórhaddur mundi inni bíða og synir hans en hurðir,bæjar,aftur
bær,nkee,Reru þeir um nóttina og komu er morgnaði til bæjar Grankels,bæjar,
bær,nkfe,Og er,bæja,eru klæddir biður Karl þá ganga til dagverðar « og vil eg ... » Hann var frammi á meðan þeir mötuðust og ber út í tún alls konar herklæði
bær,nkeeg,En um kveldið eftir mat var biskup inni en,bæjarins,hans margir úti í túni
bær,nkee,En þegar er þeir komu til bæjar Atla að,bæjar,þá tók sveinninn að biðja að hann væri skírður
bær,nkfe,Hljópu þeir á hesta sína og hleyptu út,bæja,Skaftá sem mest máttu þeir og urðu svo hræddir að þeir komu hvergi til bæja og hvergi þorðu þeir að segja tíðindin
bóndi,nkfe,Mun eg hvergi fara og engir mínir menn en Þórður má fá sóma sinn á annan veg,bænda,bændum í tómi
bóndi,nkee,hann var,bónda,Stiklastöðum í orustu þá er hinn helgi Ólafur konungur féll
bóndi,nkee,Höfum við og aldrei undir einum klæðum legið því að rekkjustokkur tekur upp,bónda,millum rúma okkarra þó að við höfum haft eitt áklæði
bóndi,nkee,Hrolleifur kvaðst,bónda,líflát Ingimundar bónda frá Hofi
bóndi,nkee,» Nú líður dagurinn og er menn skyldu fara til,bónda,vildi Grettir eigi fara af klæðum og lagðist niður í sætið gegnt lokrekkju bónda
bóndi,nkee,En þá síðan er menn þóttust verða ósjálfráðir fyrir ríki hans þá leituðu sumir í brott úr,bónda,
bóndi,nkee,segir hann,bónda,
bóndi,nkee,Egill bað þá suma úti vera og gæta að,bónda,kæmist út
bóndi,nkee,Í þenna tíma var Þórir viðleggur kominn á framfærslu til Fróðár og svo Þorgríma galdrakinn,bónda,hans og lagðist heldur þungt á með þeim Þórgunnu
bóndi,nkee,Griðka æpti hástöfum en svo skildu þau að hún frýði eigi,bónda,Gretti um það er lauk
bóndi,nkee,Vinnumenn,bónda,Bakka stóðu upp í þann tíma og sögðu til bónda að maðurinn var á bak kominn
bóndi,nkee,að þeir skulu hér ekki eiga vist né væri,bónda,
bóndi,nkee,Og er ekki sagt af hans,bónda,fyrr en hann kom austur á Jaðar
bóndi,nkee,En það er erindi mitt að færa þér heim sanninn því að þeim,bónda,þar þykir þú hafa of lítinn áður
bóndi,nkee,Var Haraldur þar læknaður til,bónda,er hann var heill
bóndi,nkee,Verður oft þeirra í millum að standa um,bónda,
bóndi,nkee,Þann,bónda,bjó hann þar síðast er Styr mágur hans var drepinn á Jörva í Flisuhverfi
bóndi,nkee,Vann á honum Dagstyggur,bónda,Jóns
bóndi,nkee,Ríður Þorgils þaðan á Hítarnes og þaðan,bónda,Snæfellsnes og gisti að hinna meiri bónda
bóndi,nkee,Stúfur var mikill,bónda,og sjónfríður og manna sterkastur
bóndi,nkee,En er þeir komu á bæinn þá gekk Högni á mót honum og fagnaði vel,bónda,
bóndi,nkee,Biskup fór til steinsins hinn þriðja,bónda,með því móti sem fyrr
bóndi,nkee,Aron kvað,bónda,hafa verið vitran mann og vel fjáðan og hinn besta bónda
bóndi,nkee,« en það hugði eg að væri húskarl Önundar úr Meðaldal og væri í kápu,bónda,en riði hesti Önundar bónda og hefði í hendi fiskastöng og aurriðanet á stöngunum
bóndi,nkee,Dalla kvaðst á það hætta mundu heldur en hún missti bónda síns,bónda,
bóndi,nkee,Svo mikill fégróður hljóp að Gróu að Eyvindará að nálega þóttu tvö höfuð,bónda,hverju kvikindi
bóndi,nkee,Svartur hét,bónda,Þorgríms bónda
bóndi,nkee,En þótt þeir kærðu þetta um hríð milli sín þá kuru þeir það af að ganga til handa,bónda,
bóndi,nkee,Konungur sté af,bónda,og gekk inn til konunnar og lagðist með henni
bú,nheeg,Var þá tekin upp byggð Hrolleifs og fór hann til Sæmundar og móðir,búsins,en menn til fengnir búsins
bú,nhee,Ásgerður var þá eftir og gætti,bús,þeirra en Egill ætlaði þá að fara á fund Aðalsteins konungs og vitja heita þeirra er hann hafði heitið Agli að skilnaði þeirra
bú,nhee,Þorleifur skeifa og Þuríður systir,bús,réðust til bús við honum með fé sitt og voru fyrir búinu
bú,nhee,Nú er þar til,bús,að taka er þeir vaxa upp fóstbræður Arngrímur og Steinólfur
bú,nhee,sagðist þó eigi vilja langvistir,bús,þar um Ísafjörð
bú,nhee,Egill kunni öll deili,bús,Ólafi og vissi að það gjaforð var göfugt og fyrir því var Þorgerður gift Ólafi
bú,nhee,Reið þá Þórður suður um heiði Skarðaleið til,bús,þar til er hann kom í Tungu til bús Gissurar
bú,nhee,Þar heitir síðan,bús,Melkorkustöðum
bú,nhee,Er það ekki mikið land en grasloðin og,bús,skógarrunnar
bú,nhee,settu eftir hann bautasteina,bús,
bú,nhee,Ásgeir hafði selför það sumar ... hafði kona,bús,þar umsýslu bús og smalaferðar
bú,nhee,Litlu síðar fóru þeir Hákon og Sigurður til bús Halldórs Brynjólfssonar,bús,Vettaland og lögðu eld í húsin og brenndu
bú,nhee,» Síðan skiljast þeir,bús,og fer Þorkell til fundar við þá Börk
bú,nhee,,bús,getur Glúmur Geirason
bú,nhee,En um sumarið fóru þeir út til Íslands og hafði orðið gott til fjár og virðingar og skildu þeir vel,bús,félag
bú,nhee,Kemur hann heim í Tungu til bús síns og unir,bús,sínum hlut
bú,nhee,tóku,bús,manna og mat þar er þeir þóttust þurfa að hafa
bú,nhee,Þeir komu að kveldi,bús,í Giska til bús Þorbergs Árnasonar
bú,nhee,Og er þetta var tíðinda þá kemur Önundur úr Meðaldal og til Gísla og bregður honum á eintal einum saman og segir honum að Vésteinn mágur,bús,er út kominn og heim undir Hest til bús síns og það með að hans er þangað von um kveldið
bú,nhee,En er hann kom í Grímstungu var Óttar sóttlaus og lét,bús,taka Hallfreð höndum og setja í fjötur
bú,nheeg,Sturla Sveinsson,búsins,
bú,nhee,Og var boð þeirra Hrafns á Hofi að Gríms og var það sagt að hún hljóp úr hvílu hina fyrstu,bús,er Hrafn var innar leiddur
bú,nhee,Svo og höfðu þeir eigi goldið landaura er gjaldkerinn átti að heimta og heimt hafði hann en Þorsteinn lést eigi skyldur að gjalda er hann var konungs hirðmaður og þóttist heimilt eiga og um þá fimmtán,bús,er honum fylgdu að gefa upp gjaldið og varð fyrir því eigi fast eftir gengið
dagur,nkee-s,þess er land hafði flúið fyrir Ólafi,Dags,
dagur,nkee,Þeir voru sex saman,dags,áttæru skipi
dagur,nkee,Bjuggust þeir einn morgun snemma og fóru,dags,skíðum upp á fjall og linntu eigi fyrr en þeir komu að kveldi dags til eins sæluhúss og ætla þar að vera um nóttina
dagur,nkee,En er þeir áttu skammt til Oprostaða þá verða varir við ferð þeirra vinir Eiríks og báru honum njósn um ferð,dags,að kveldi dags
dagur,nkee,kom af hafi norður við Þrándheim og hélt inn á fjörðinn,dags,
dagur,nkee,Sigmundi varð nú gott til,dags,því að allir þóttust skyldir að gera vel við meyna og þá sem með henni fóru hvar sem hún kom og því vildi Sigmundur fara hinn lengsta veg
dagur,nkee,Tók hann þá Önund upp og rak niður svo mikið fall að,dags,í óviti og hraut exin úr hendi honum
dagur,nkee-s,» Ólafur,Dags,gerði eigi atgönguna fyrr að hann beið Dags og þess liðs er honum fylgdi
dagur,nkee,gekk á land og bað menn sína bíða,dags,skipi til annars dags í þær mundir en halda á burt ef hann kæmi þá eigi
dagur,nkee,Lík,dags,var fært heim í Tungu
dagur,nkee,Þetta er þó mitt ráð,dags,
dagur,nkee,Vildi Egill þar ekki við koma því að hann hugði að ríki,dags,mundi allt yfir standa í eyjunum
dagur,nkee,Tóku þá þegar sumir,dags,flutning með Kjartani
dagur,nkee,Síðan róa þeir og sjá vatn renna og taka af sér til,dags,og var það síð dags
dagur,nkee,Þeir fóru svo til,dags,er þeir komu í Geirsver
dagur,nkee,Hann gekk nú að bæ,dags,og að haugi þeim er hann sat á og var það snemma dags
dagur,nkee,fóru norðan um sumarið og er ekki sagt frá ferð,dags,fyrr en þeir koma í Karmtsund aftan dags og lögðu að við Ögvaldsnes
dagur,nkee,Hann dró saman her óvígjan og fór á hendur Eiríki konungi,dags,varð þar mikil orusta
dagur,nkee,Hann fékk þeim,dags,vist nokkura
dagur,nkee,Var hús það mjög svo fullt af,dags,og alls konar varningi
dagur,nkee,Var hann þá,dags,tekinn og varð hann áður sjö manna bani einn saman
dagur,nkee,En,dags,fjórðu stundu þessa dags andaðist hann og hinum sétta vetri hins átta tigar aldurs síns
dagur,nkee-s,Hann átti Hlíf dóttur Dags konungs af Vestmörum,Dags,
dagur,nkee,« Nú skal eg ganga til,dags,en þér bíðið mín hér til hins þriðja dags ef þess þarf við en þér farið brottu leið yðra ef eg kem eigi aftur um það
dagur,nkee,Kom hann eigi fyrr norður,dags,Gáseyri en skipið var albúið
dagur,nkee,Þórólfur fór til,dags,og kom þar síð dags
dóttir,nvee,Þetta haust kom heim í Ás Guðrún Gunnarsdóttir,dóttur,
dóttir,nvee,Óleifur hinn hvíti herjaði í vesturvíking og vann Dyflinni,dóttur,Írlandi og Dyflinnarskíði og gerðist þar konungur yfir
dóttir,nvee,Og lauk svo þessum málum að Sturla sótti eigi Einar um ránið enda sagði Einar eigi ósátt,dóttur,á handsali Sturlu og Birnings og sátu þá hvorir um það sem fengið höfðu
dóttir,nvee,Þeir feðgar,dóttur,og Þorvaldur fóru til Klakka-Orms að biðja Sigríðar dóttur hans
dóttir,nvee,Er það ekki jafnræði með ykkur,dóttur,meðan þú ert svo óráðinn og mun því ekki verða á litið
dóttir,nvee,,dóttur,börn Oddur og Vigdís
dóttir,nvee,Egill hafði þar ógrynni fjár en ekki er þess getið að Egill skipti silfri því er Aðalsteinn konungur hafði fengið honum í,dóttur,
dóttir,nvee,Már lá,dóttur,í bekk og hafði lagt höfuð sitt í kné Rannveigar dóttur Hneitis bónda
dóttir,nvee,Bolli kvaddi Ósvífur til,dóttur,við sig og hefur upp bónorð sitt og bað Guðrúnar dóttur hans
dóttir,nvee,Mjög heyrði eg það rætt í Noregi og svo í Vestra-Gautlandi að allir mundu þess fúsir vera að friður yrði og það var mér sagt með sannindum frá,dóttur,Noregskonungs að hann væri fús að sættast við yður og veit eg að það mun til koma að hann mun sjá það að hann hefir miklu minna afla en þér hafið
dóttir,nvee,Nú hefir fleira orðið senn en einn hlutur og verður þó,dóttur,einum senn að segja
dóttir,nvee,Svo er sagt að Hánefur fer til,dóttur,við Vémund og bauð heim til fósturs Þórkötlu dóttur hans og ætlaði hann sér það mjög til trausts við aðra menn
dóttir,nvee,Reið hann nú heim og þótti þunglega á horfast því að flestir allir höfðingjar,dóttur,landinu voru annaðhvort skyldir eða mægðir við þá Gretti og Illuga
dóttir,nvee,Þá bað Hallur Gissurarson Ingibjargar dóttur Sturlu og réðst það á þingi,dóttur,
dóttir,nvee,Jón Ófeigsson bróðir,dóttur,fékk Guðrúnar dóttur Odds á Álftanesi og var hann oft suður þar og var með Snorra í góðu yfirlæti
dóttir,nvee,Þá segir Þórólfur Sigurði hvað verið hafði í einkamálum með þeim Bárði áður hann andaðist og svo bar hann fram orðsendingar,dóttur,að hann vildi það allt haldast láta og sýndi þar með jartegnir
dóttir,nvee,Jarli þótti Gunnlaugur hafa sýnt við sig einurð og vináttu og lét þau,dóttur,um fara að Gunnlaugur skyldi þar friðland hafa í hans ríki
faðir,nkee,Ólafur gengur að pallinum og sest niður,föður,henni
faðir,nkee,,föður,Þórarins
faðir,nkee,,föður,Ásgauts
faðir,nkee,til Íslands og komu skipi,föður,á Borðeyri í Hrútafirði
faðir,nkee,Svo er sagt að Helga Granadóttir hljóp nú,föður,búi Háls bónda síns og heim til föður síns og hitti ekki Áskel
faðir,nkee,hann var,föður,Ísröðar
faðir,nkee,,föður,Þorkels gullkárs
faðir,nkee,Hann var,föður,Jóns
faðir,nkee,og bað hann fyrst,föður,braut fara
faðir,nkee,,föður,Narfa
faðir,nkee,,föður,Kolgríms
faðir,nkee,,föður,Halldórs
faðir,nkee,Hann var,föður,Þorkels
faðir,nkee,Eg kann skaplyndi ykkars konungs að ekki munuð þið svo stilla ykkrum,föður,að það muni vel hlýða og er mér þá ekki betra um að tala ef áður verður meira að
faðir,nkee,Sjórinn var að fallinn svo að hesturinn var nær,föður,sundi undir honum
faðir,nkee,,föður,Orms
faðir,nkee,,föður,Þorgauts
faðir,nkee,En er þeir sigldu norður,föður,Líðandisnesi fóru þeir meir útleið en þar sem þeir komu við land þá rændu þeir
faðir,nkee,,föður,Eyjólfs
faðir,nkee,» En þar var svo farið frændsemi að móðir Þórodds var Þórvör dóttir,föður,en Þórvé var móðir Þorsteins goða föður Bjarna spaka
faðir,nkee,,föður,Ásgauts
faðir,nkee,,föður,Þórðar í Reykjaholti
faðir,nkee,Hún var,föður,Vermundar úr Vatnsfirði
faðir,nkee,» Eiður mælti,föður,
faðir,nkee,,föður,Þórunnar
faðir,nkee,Þetta haust drap Grímur hersir Öndótt kráku fyrir það er hann náði eigi fénu til handa konungi en Signý kona Öndótts bar á skip allt lausafé þeirra þegar hina sömu nótt og fór með sonu,föður,
faðir,nkee,Valþjófur var,föður,Helga
faðir,nkee,Þeirra dóttir var Þórey,föður,Sæmundar hins fróða
faðir,nkee,,föður,Þorkels
faðir,nkee,Þau fóru á fund hans til Skagafjarðar og sögðu honum deili á sér og sögðu hann frænda,föður,
faðir,nkee,En nú er hún var skír orðin sagði Sturla að hún væri orðin arfi að hálfum Oddastað er þeir höfðu tekið eftir Eyjólf prest Sæmundarson Loftur prestur og Loðmundur,föður,Jóns
faðir,nkee,,föður,Kolbeins
faðir,nkee,,föður,Áskels
faðir,nkee,Þá kom Eyvindur son,föður,austan og tók við herskipum föður síns
faðir,nkee,setti hann þar niður stöng háva og kveðst þar taka Véfröði syni,föður,bústað
faðir,nkee,,föður,Þorgauts
faðir,nkfe,Allir fóstbræður,feðra,fóru til feðra sinna nema Þórhallur og Ketilbjörn
faðir,nkee,Björn sonur Ketils flatnefs var,föður,Kjallaks
faðir,nkee,Hann venur komur sínar til Ölvis að hitta dóttur hans og í mót vilja frænda,föður,og fékkst þó engi forstaða af lítilmennsku föður hennar
faðir,nkeeg,Hann fékk henni og í,föðurins,fimmtán hundruð mórend og fimmtán vararfeldi og sendi Bárði á Grænmó
faðir,nkee,hafði verið settur til ríkis á Vindlandi í Jómsborg en þá hafði komið til,föður,orðsending Knúts konungs föður hans að hann skyldi fara til Danmarkar og það með að hann skyldi síðan fara til Noregs og taka þar við ríki því til forráða er í Noregi var og hafa þar með konungsnafn yfir Noregi
faðir,nkee,,föður,Þórðar í Reykjaholti
faðir,nkee,móður,föður,erru
faðir,nkee,leyst og sent heim frjálsa til föður síns,föður,
faðir,nkee,Son hans hét Auðun,föður,Ásgeirs
faðir,nkee,,föður,hans var Ófeigur þunnskeggur
faðir,nkee,,föður,Þorkels
faðir,nkee,En um vorið eftir páska skipar Otkatla lönd sín og tók þá til,föður,er verið hafði um sumarið og síðan fór hún af Helgastöðum með allt sitt og inn til Möðrufells til föður síns og er úr þessi sögu
faðir,nkee,Tylftarkviður átti um að skilja en hvorgi þeirra Snorra né Arnkels þótti bera mega kviðinn fyrir hleyta,föður,við sækjanda og varnaraðilja
faðir,nkee,Þorkell sonur Geitis fór utan og jafnan landa í millum þegar er hann hafði aldur til,föður,og varð hann lítt við riðinn mál þeirra Brodd-Helga og Geitis föður síns
faðir,nkee,,föður,Þorsteins holmunns í Mörk
faðir,nkee,hann var,föður,Ísröðar
faðir,nkee,Maður hét Þórarinn er bjó í Sunnudal,föður,
faðir,nkee,,föður,Guðmundar
faðir,nkee,En við þenna,föður,ójafnað þá þótti Hjörvarði jarli föður hennar eigi mega við sæma hennar vandræði og sagði henni þá ljóslega að hann mundi eigi þann veg lengur láta fram fara og kvað henni eigi hlýða mundu nema um batnaði nokkurs háttar « eða ellegar far í brott sem skjótast úr minni hirð
faðir,nkee,,föður,Ríkarðar
faðir,nkee,Þeir Haraldur og Vilhjálmur bjuggu,föður,
faðir,nkee,Þorvarður Hallsson var,föður,Þórdísar
faðir,nkee,Ingimundur fór til föður síns eftir bardagann,föður,með miklum sóma
faðir,nkee,En hann segir til nafns síns hið sanna og til kyns og hugði hann að það mundi heldur víðara fara þar að hann mundi,föður,njóta en gjalda eigi föður síns því að Vésteinn var hinn vinsælasti maður í kaupförum
faðir,nkee,Þorbjörn var,föður,Lýtings
faðir,nkee,Þeirra son var Kjartan,föður,Þorvalds
faðir,nkee,Hann var,föður,Þorkels
faðir,nkee,Allir stakkgarðsmenn viku sínu máli undir forsjá,föður,til sætta en Þórdís tók við búi í Vatnsfirði að ráði föður síns
faðir,nkee,Nú sýndist Lofti sér óvarlegt að sitja í Dýrafirði fyrir ófriði Þorvalds og fór hann suður um,föður,
faðir,nkee,Hann var,föður,Bersa
faðir,nkee,föður,föður,Odda
faðir,nkee,Hann var,föður,Jóns
faðir,nkee,Úlfur aurgoði var,föður,Svarts
faðir,nkee,,föður,Sumarliða
faðir,nkee,,föður,Hróðgeirs
faðir,nkee,,föður,Sauða-Úlfs
faðir,nkee,Kolbjörn segir,föður,
faðir,nkee,,föður,Halls
faðir,nkee,,föður,Brynjólfs
faðir,nkee,,föður,Kolls
faðir,nkee,» Þorsteinn svarar,föður,
faðir,nkee,» Og við þessar fortölur,föður,lét Kjartan kyrrt vera
faðir,nkee,föður,föður,í Seyðarfirði
faðir,nkee,Þá var sagt inn að menn tveir riðu hvatlega neðan,föður,Leiðarhólmi
faðir,nkee,,föður,Bersa
faðir,nkee,Drottning var til,föður,vel og svo gerðu aðrir eftir
faðir,nkee,Þorgrímur goði spyr nú athæfi Búa og atferði en sakir,föður,að hann hafði nær höggið honum í drápi föður hans þá gerði hann nú eigi til hans og hefir þetta nú svo liðið nokkura stund
faðir,nkee,,föður,Þórði kakala og öðrum höfðingum
faðir,nkee,Þórólfur,föður,Skalla-Gríms réðst til ferðar með Birni og fékk Skalla-Grímur honum fararefni
faðir,nkee,,föður,Halldórs
faðir,nkee,dóttur Þórodds,föður,Sveinbjarnar
faðir,nkee,En góðar einar fréttir höfum vér til þessa manns og svo til föður hans og er þetta ásjámál,föður,
faðir,nkee,« Vitni munum vér fram,föður,konungur um þetta mál og láta eiða fylgja að það var til skilið í sætt þeirra Þóris föður míns og Bjarnar að Ásgerður
faðir,nkee,,föður,Mána
