LEMMA,TAG,SENTENCE,,
bróðir,nken-s,Úlfur hræða var í þann fylkingararminn sem,Bróðir,var til móts en í annan fylkingararm var Óspakur og synir Brjáns konungs þar er Sigtryggur var í móti en í miðri fylkingunni var Kerþjálfaður og voru fyrir honum borin merkin
bróðir,nken,» Kjartan býst snemma fimmtadag í páskaviku og Þorkell hvelpur og Knútur,bróðir,hans að ráði Auðar
bróðir,nkfn,Þeir tóku þá,bræður,höndum og bundu hvorntveggja
bróðir,nkeo,Það sumar fór Ásmundur til Íslands og hugði Ásgrím,bróður,sinn dauðan
bróðir,nken,Eftir það tók Snorri,bróðir,hans mannvirðing í Vatnsfirði og voru hans synir Hafliði
bróðir,nkfn,Og er þeir voru brottu úr Odda hittust þeir,bræður,Sæmundur og Ormur og spurði Ormur tíðinda en Sæmundur segir slík er var
bróðir,nkeþ,En þetta þótti,bróður,hans Trausta mikið mein og talaði oft um fyrir honum að hann skyldi af hyggja og fá sér konu
bróðir,nkeo,Eftir það reið Haki við menn sína til bús Sigurðar og tók í braut Ragnhildi dóttur hans og Guttorm,bróður,hennar og mikið fé og marga dýrgripi og hafði heim á Haðaland
bróðir,nkfn,Gissur dró þá lið saman og sendi þá,bræður,vestur til Borgarfjarðar á njósn
bróðir,nkeo,Þeir báðu hann ráðagerðar til að drepa Skútu Áskelsson því að hann hafði drepið föður þeirra og,bróður,
bróðir,nkfn,« Aldrei vissi eg að þið,bræður,munduð gera drengskap ykkarn til fjár eða hversu lengi skal fjárbón sjá yfir standa
bær,nkeþg,Það er nú kallað Ólafshlið er heilagur dómur konungs var borinn upp af skipi og er það nú í miðjum,bænum,
bær,nkfþ,Ríða þar menn af,bæjum,til móts við hann
bær,nkeþg,lét þann missa skyldu lífs eða lima er þá dveldist eftir í,bænum,er hann legði braut Bækisúðinni
bær,nkeþ-s,Þorgils gisti í,Bæ,að Böðvars
bær,nkeþg,Það verður tíðinda á þeirri nótt að hlíðin brestur yfir,bænum,á Skammfótarmýri og hleypur skriða úr fjalli yfir bæinn Bergs og fá þar tólf menn bana og sér enn gjörla merki jarðfallsins
bær,nkeþ,Heldur Egill þangað skipi sínu í höfn sem næst,bæ,Arinbjarnar
bær,nkeþ,« Ekki vita menn til þess því að ekki er hof á,bæ,hans og þykir mönnum Bárður mjög kynlegur og óvísir eru mönnum hættir hans og framferði
bær,nkeþ,snúa fram að,bæ,Þórveigar
bær,nkeþg,Og er þeir komu nærri,bænum,kom maður í för þeirra
bær,nkeþg,« Hér munum vér sitja og bíða en þú forvitnast tíðinda af,bænum,
bær,nkeþ,Eftir þetta er hann stundum í Geirþjófsfirði á,bæ,Auðar en stundum í fylgsnum fyrir norðan ána er hann hafði gert sér
bær,nkeþg,Þá kemur Þórður hinn huglausi inn gangandi og segir að her manna fer að,bænum,
bær,nkeo,« Gat hann þess að eigi væri örvænt að hann hitti,bæ,þinn ef hann kæmi á Breiðafjörð og væri eigi tilgengilegt er þú kæmir heim
bær,nkeþ,Skinnbrók ambátt Bárðar bjó að,bæ,þeim er Skinnbrók heitir
bær,nkeog,Förunautur Þorgeirs ríður fram um,bæinn,en klyfjahestarnir
bær,nkfo,Kálfur sendi þá menn til Möðrufells og víðara á,bæi,að stefna mönnum að sér
bóndi,nken,Fór þá,bóndi,inn á Kársstaði og kærði þetta vandræði fyrir Þóroddi því að hann var hans landseti
bóndi,nken,Skúli,bóndi,reið til skips og bauð þegar kaupmönnum til sín því að hann hafði vana til þess að taka við kaupmönnum og eiga gott vinfengi við þá
bóndi,nkeþ,En er hún varð vör við hvað þeir réðu sendi hún orð til Björgynjar Erlingi skakka,bónda,sínum
bóndi,nkfþ,Héraðshöfðingjum voru orð send að þeir kæmu til þessarar stefnu og öllum,bændum,og griðmönnum
bóndi,nken,Þorsteinn,bóndi,reið til skips og réð jafnan mestu hver kaupstefna var og svo var enn
bóndi,nkfn,Fylgdarmenn Þorgils og,bændur,nokkurir í héraði stóðu upp með þeim
bóndi,nkfn,Þeir jarl fundust um haustið eftir því sem þeir höfðu áður rætt og sóru þá nokkurir,bændur,konungi trúnaðareiða og þeir sumir er áður höfðu mjög í móti staðið
bóndi,nkfo,Hákon hafði það upphaf síns máls að hann beiddi,bændur,að gefa sér konungsnafn og það með að veita sér fylgd og styrk til að halda konungdóminum en þar í mót bauð hann þeim að gera alla bændur óðalborna og gefa þeim óðul sín er á bjuggu
bóndi,nken,Geirmundur,bóndi,var stórmenni mikið og hélt aldrei færri menn en átta tigi vígra karla með sér á Geirmundarstöðum
bóndi,nkeo,Þá töluðu til frændur hennar að slíkt væri mikil skapraun burðugum konum að hafa bótalausa þvílíka álygi því að það var þar dauðasök ef kona varð opinber að því að hún hóraðist undir,bónda,sinn
bóndi,nken,Tóku þeir þar vöndul heys fyrir hest hvern og lágu undir túngarði því að,bóndi,lét byrgja hurðir vandlega
bóndi,nken,Þorgils,bóndi,sagði þeim fóstbræðrum allt slíkt sem hann sagði Gretti en þeir gerðu svo mikil metorð hans að hvorigir lögðu öðrum öfugt orð en þó fóru ekki þykkjur þeirra saman
bóndi,nken,Sat,bóndi,á palli og dóttir hans en húsfreyja á aðra hönd
bóndi,nkeþ,En þeir Þorbergur sneru ofan til móts við Eyjólf og sögðu presti að,bónda,þætti mál að hann kæmi heim
bóndi,nkfn,Var þá mikið orð á af bændum að til auðnar þótti horfa en,bændur,þóttust litla forstöðu hafa því að Þórarinn var ungur og ekki reyndur að höfðingskap eða héraðsstjórn
bóndi,nkeo,veitt Ingimundi,bónda,bana
bóndi,nkfo,Jón Markússon sagði mér svo að þeir Kálfur Guttormsson og Önundur Þorgrímsson hafa bundist í því að draga,bændur,undan þér ef Sighvatur kemur í hérað og þurfir þú manna við
bóndi,nkeo,Gengur Örn til móts við,bónda,
bóndi,nken,Fer,bóndi,með honum til haugsins
bóndi,nken,En er,bóndi,sá það þokaði hann um manns rúm
bóndi,nkfn,« Hafa,bændur,verðleik til þess að svo væri gert sem þér viljið
bóndi,nken,,Bóndi,leit til hennar og kvað
bóndi,nkeo,Tóku það flestir upp fyrir Þórði að Hálfdan mágur hans væri líkastur til að veita honum nokkvern styrk fyrir kosta sakir og ættar en kváðu Steinvöru systur hans höfuðskörung og líklega til framhvata margs við Hálfdan,bónda,sinn
bú,nhen,Reið Þórður þá austur á Völlu til bús síns og var það þó lítið,bú,að því sem fyrr hafði á verið
bú,nheo,Hann fór norður á Sléttu og til Grímseyjar með ferju er hann átti að fá í,bú,sitt og til gjalda
bú,nheo,Móðir hans spurði hann hversu hann ætlaði til um,bú,sitt en hann gekk undan þegjandi
bú,nheo,En um vorið keypti hann Glaumbæjarland og gerði,bú,á og bjó þar meðan hann lifði og var hið mesta göfugmenni og er mart manna frá honum komið og Guðríði konu hans og góður ættbogi
bú,nheo,« Nú skal senda til Sigurðar Hranasonar vinar míns og biðja hann hér koma og ef hann hefir nokkur mótmæli minnist hann hver honum dugði best þá er Finnar tóku,bú,hans í Bjarkey
bú,nheo,En er Þorgrímur spyr það þá færir hann inn,bú,sitt allt og ræðst hann í flokk með honum og fóru þeir út stundum á Laugaland mjög margir saman eða til skipa og voru nótt saman
bú,nhen,«,Bú,þig þá sæmilega að klæðum eða vopnum því að það eitt samir og skortir okkur ekki til þess og skipast margir menn vel við góðan búning enda er vandara að búa sig í konungs herbergi en annarstaðar og verður síður athlægi ger af hirðmönnum
bú,nheþ,Hún þóttist varla mega,búi,sínu halda ef þeir færu frá og fer á fund Þorsteins sonar síns og segir honum hvern ágang þeir veita
bú,nheo,En um vorið fór Sighvatur til Skagafjarðar og leita við þingmenn hans að þeir gerðu honum,bú,og vikust menn og vel undir það
bú,nhen,Var eitt,bú,hans í Aðalvík í Ísafirði
bú,nheo,Hvern morgun svaf hann til dagmála og annaðist ekki um,bú,
dagur,nkeog,Karl hljóp á skip til Vandils bróður síns og börðust þeir þaðan báðir um,daginn,
dagur,nkeo,háttagóð hversdaglega og kom til kirkju hvern,dag,áður hún færi til verks síns en eigi var hún glöð eða margmálug hversdaglega
dagur,nkeog,Heyrðu menn til sauðamanns öndverðan,daginn,en miður er á leið daginn
dagur,nkfþ,Það var á,dögum,Hákonar hins ríka öndverðum
dagur,nkeo,Fjórir hleifar brauðs eru honum færðir hvern,dag,og þar við slátur
dagur,nkeo,Annan,dag,eftir er það sagt að menn ganga með höfðingjum og vinum jarls að biðja að hann vægi syni sínum og honum sami eigi að þrengja hans ráði « og er það vegur yðvar
dagur,nkeo,Þann,dag,er hann reið úr borginni til skipa sinna og hann var kominn á hest sinn þá gekk kona hans til hans og vildi tala við hann
dagur,nkeog,Þá gerði hann þegar um,daginn,mann eftir Kjartani og bað hann koma til sín
dagur,nkeo,Einhvern,dag,býr Atli ferð sína til Víðiskógar
dagur,nkeog,Þegar um,daginn,eftir gekk njósn vestur í Dali til Tuma og fór hann þegar inn í Hvamm og þaðan út í Hrappsey en Svertingur sendi Steinar son sinn vestur til Sturlu en hann gerði Órækju njósn og fór hann vestan og fundust þeir Órækja í Tjaldanesi og Sturla
dagur,nkeog,En er á leið,daginn,þá fundu þeir konungur róðrarskip mörg í hverju eyjarsundi og hafði lið það ætlað til fundar við Þórólf því að njósnir hans höfðu verið allt suður í Naumudal og víða um eyjar
dagur,nkeog,Skipuðu þá Sigfússynir til búa sinna og dvöldust þar um,daginn,en um kveldið riðu þeir vestur yfir Þjórsá og sváfu þar um nóttina
dagur,nkeo,Það er sagt að Vémundur kom að máli við konu sína einnhvern,dag,og segir að hann mundi fara á brott erinda sinna og kvaðst ekki heim mundu koma í bráð
dagur,nkeo,En þenna sama,dag,reið Atli son Úlfs hins skjálga norðan yfir heiði við tólfta mann
dagur,nkeo,Og nú um sumarið fjölmenntu hvorirtveggju til alþings eftir föngum þá er þar kom og riðu menn á þing hinn næsta,dag,fyrir Jóns messu baptista
dagur,nkeo,« Hversu má það saman fara að þú ríðir drottinsdag heiman en komir annan,dag,vikunnar á Þríhyrningshálsa
dagur,nkeog,Um,daginn,eftir gengu hvorirtveggju til Lögbergs og nefndu hvorir votta
dagur,nkeog,Þann morgun er þeirra var von þá mælti Helgi við húskarla sína að þeir skyldu hvergi fara frá húsum um,daginn,
dagur,nkeo,Og þenna sama,dag,er þeir ræddust þetta við andaðist Brandur biskup og fylltust nú beggja þeirra orð
dagur,nkeo,En þann,dag,er hann ætlaði heim kom þar Ingimundur skíðungur úr Dölum handan og sáu menn eigi erindi hans
dagur,nkfþ,Sagði Haraldur konungur að það mundi auðvelt því að þau kölluðu engan mann vænlegra hafa komið af Íslandi á þeirra,dögum,
dagur,nkeo,Þann,dag,gengu menn í þingbrekku og mæltu menn málum sínum en um kveldið skyldu dómar út fara til sóknar
dagur,nkeo,» Annan,dag,eftir er sagt víg Hlöðu-Kálfs frá Stokkahlöðu
dagur,nkeo,Þau komu fram einn,dag,að kveldi til Eiríks á Oprostöðum
dagur,nkeo,Og einn,dag,gekk hún að sæng Hávarðar og spurði hvort hann svæfi
dagur,nkeo,« Svo muntu um búa í,dag,að þurfa mun fjárins
dagur,nkeo,Er ekki af sagt hans ferð áður hann kemur einn,dag,að kveldi á Goddastaði
dagur,nken,En er þeir komu mjög svo til bæjarins á Ögvaldsnesi þá gerðist ljós,dagur,
dagur,nkfþ,Á þeirra,dögum,kom af Noregi Eiríkur blóðöx og voru þá jarlar honum lýðskyldir
dagur,nkeog,» Eftir um,daginn,kallar Haraldur jarl til tals við sig og gengu þeir í málstofu
dagur,nkeo,fór síðan,dag,og nótt ferðar sinnar
dagur,nkeo,Og hann kemur á fund Glúms og sitja þeir á tali allan,dag,svo að engi vissi hvað þeir töluðu
dagur,nkfþ,Var gefið fé til að þeir skyldu vera ferjandi en eiga eigi útkvæmt meðan nokkur Ólafssona væri á,dögum,eða Ásgeir Kjartansson
dagur,nkeog,» Þjóstarssynir létu senda eftir Freyfaxa um,daginn,og liði hans
dagur,nkeo,Einn helgan,dag,fór Símon til fundar við frillu sína og sat á tali við hana en Jón gekk að honum og hjó hann banahögg
dagur,nkeo,Nú líða stundir og þess er getið einn,dag,að konur voru í dyngju sinni og Halli var þar kominn
dagur,nkeo,Þann,dag,er þeir voru við lækinn riðu menn brott af Lambanesþingi og fór mart manna til Eiða með Helga Ásbjarnarsyni
dagur,nkeo,gekk á orð sín við þann milda konung og hljópst þá á brott um,dag,og kom að kveldi til bónda eins
dóttir,nvfo,Þær voru systur,dætur,Haralds konungs úr Görðum austan
dóttir,nveo,Jarl dæmdi það að Sveinn konungur skyldi fá Gunnhildar,dóttur,Búrisláfs konungs en Búrisláfur konungur skyldi fá Þyri Haraldsdóttur systur Sveins konungs en hvortveggi þeirra skyldi halda ríkinu og skyldi vera friður milli landa
dóttir,nven,,dóttir,Búrisláfs konungs
dóttir,nven,Móðir Steins lögmanns var Arnóra,dóttir,Þórðar gellis
dóttir,nveo,föður Egils er átti Úlfeiði,dóttur,Eyjólfs hins halta
dóttir,nveo,Hann átti Þuríði,dóttur,Þórðar frá Höfða
dóttir,nveþ,,dóttur,Hjalta Skálpssonar
dóttir,nven,Gissur hvíti sonur Teits Ketilbjarnarsonar en móðir hans var Ólöf,dóttir,Böðvars hersis Víkinga-Kárasonar
dóttir,nveo,Hann hafði átt Halldísi,dóttur,Bergþórs Mássonar bróður Hafliða
dóttir,nven,Hún var,dóttir,Álfs úr Dölum
dóttir,nveþ,og í þeirri ferð fékk hann Gunnhildar,dóttur,Össurar tota og hafði hana heim með sér
dóttir,nveþ,,dóttur,Þórólfs Véleifssonar
dóttir,nvfn,En aðrar,dætur,Snorra goða voru giftar að honum dauðum
dóttir,nven,Úlfhildur,dóttir,þeirra
dóttir,nveþ,Hann gekk að eiga Gunnhildi,dóttur,hans
dóttir,nveþ,Þeir voru í vesturvíking og drápu í Suðureyjum Ásbjörn jarl skerjablesa og tóku þar að herfangi Álöfu konu hans og Arneiði,dóttur,hans
dóttir,nveþ,en hann,dóttur,Glúms
dóttir,nveþ,,dóttur,Þormóðar á Akranesi
dóttir,nveþ,Sigmundur Þorgilsson átti Halldóru,dóttur,Skeggja Bjarnasonar
dóttir,nveþ,,dóttur,Ketils Hörða-Kára
dóttir,nvfn,,Dætur,Þórvé
dóttir,nven,,Dóttir,Styrkárs hét Kerling og heldur margkunnig
dóttir,nven,,Dóttir,Holbarka var Þórunn
dóttir,nveþ,,dóttur,Sigurðar hjartar
dóttir,nveo,Það er sagt er hann var að brullaupinu er Atli gifti,dóttur,sína að Steingrímur falaði yxn tvö rauð að Örnólfi sex vetra gömul
dóttir,nven,en Hildur var móðir hans,dóttir,Gauta Ármóðssonar
dóttir,nven,Hún sagðist eigi hans,dóttir,vera
dóttir,nven,Móðir hans hét Þorkatla og var,dóttir,Ketilbjarnar hins gamla frá Mosfelli
dóttir,nveo,Muntu og fá Bergljótar,dóttur,Hákonar Hlaðajarls og búa á Gimsum og halda virðingu til dauðadags
dóttir,nveþ,,dóttur,Hrólfs rauðskeggs
dóttir,nveþ,,dóttur,Þorvarðs frá Urðum
dóttir,nveþ,,dóttur,Hrólfs hersis
dóttir,nveo,hann átti Þorgerði,dóttur,Þorsteins rauðs
dóttir,nven,Aldís hét,dóttir,þeirra og var sköruleg kona
dóttir,nven,Halla var,dóttir,þeirra
dóttir,nven,,Dóttir,Eyvindar var Fjörleif
dóttir,nveo,Það vor fór Yngvar til Borgar og var það að erindum að hann bauð Skalla-Grími til boðs út þangað til sín og nefndi til þeirrar ferðar Beru,dóttur,sína og Þórólf son hennar og þá menn aðra er þau Skalla-Grímur vildu að færu
dóttir,nveo,og konungsdóttir á málstefnu en það kom upp af tali þeirra að sú var ráðagerð að Rögnvaldur jarl fastnaði Ástríði,dóttur,Ólafs Svíakonungs Ólafi Noregskonungi með þeirri heimanfylgju sem áður hafði skilið verið að Ingigerður systir hennar skyldi hafa heiman haft
dóttir,nven,Arndís hét,dóttir,Tuma laungetin er átti Steingrímur Þorvaldsson
dóttir,nveo,sagði Þórnýju,dóttur,hans vera gifta Bjarna í Gröf Þorsteinssyni goða landnámamanns « og er Þorleifur kom eigi aftur til Noregs bjó eg skip mitt og fór eg til Íslands og var eg þar tvo vetur og frétti eg ekki þar til þín
dóttir,nven,Hét,dóttir,þeirra Hildur
dóttir,nveþ,Hann fékk Auðar djúpúðgu,dóttur,Ketils flatnefs Bjarnarsonar bunu
dóttir,nvfog,sat í sorg og sút og sumar,dæturnar,með henni en sumar glúpnuðu yfir hennar harmi
dóttir,nven,Þorgrímur bóndi sat á palli og Helga,dóttir,hans og skartaði hún allmikið
dóttir,nven,Þórdís hét hin fjórða,dóttir,Óláfs feilans
dóttir,nveo,Hann venur komur sínar til Ölvis að hitta,dóttur,hans og í mót vilja frænda hennar og fékkst þó engi forstaða af lítilmennsku föður hennar
dóttir,nveo,hann bjó á átti Arnóru,dóttur,Þórðar gellis
dóttir,nven,Gunnhildur föðurmóðir Háreks var,dóttir,Hálfdanar jarls og Ingibjargar dóttur Haralds hins hárfagra
dóttir,nveþ,Það er einn tíma að Finnbogi kom að máli við jarl og bað hann fara til Sandeyjar að sætta þau Ingibjörgu « og vil eg það til skilja með atgöngu yðvarri að eg fái Ragnhildar,dóttur,hennar en unna henni sæmdar fyrir dráp Álfs bónda hennar
dóttir,nveo,Hann átti,dóttur,allfríða er nefnd er Hildiríður
dóttir,nven,þeirra,dóttir,Yngvildur
dóttir,nveþ,Hann lagði hug á Signýju,dóttur,Otkels
dóttir,nven,Þórdís hét,dóttir,þeirra
dóttir,nveþ,« Þess beiði eg yður herra ef svo ber við að yðvar missi við að mínir erfingjar af,dóttur,yðvarri til komnir taki lönd og lausa aura eftir yður ef eg sendi þá til
dóttir,nven,Á aðra hönd sat Þórhalla,dóttir,Ásgríms Elliða-Grímssonar
faðir,nkeþ,» Þeir talast við um daginn og að kveldi ríður Hersteinn heim og segir,föður,sínum frá farmönnum og hvar nú er komið þeirra máli
faðir,nken,,faðir,Þórunnar
faðir,nken,Brodd-Helgi var þá þrevetur er,faðir,hans var drepinn og var þá þegar efnilegur maður að jöfnum aldri
faðir,nken,,faðir,Hafþórs
faðir,nken,en Arnór,faðir,hans hittir Þorgeir og biður hann veita sonum sínum
faðir,nken,svo vítt sem haft hafði Ólafur konungur,faðir,hans
faðir,nkeþ,Eitt sumar bauð Glúmur honum eigi til sín og kvaðst vilja að hann væri að Uppsölum með,föður,sínum « en því býð eg þér eigi að mér þykja eigi góðar húsgöngur
faðir,nken,,faðir,Marðar
faðir,nken,Guðrún Ásbjarnardóttir sagði og þá að Þorsteinn var,faðir,að barni hennar því er þá var nokkurra vetra gamalt
faðir,nken,Stórólfur átti Þórörnu systur Þorbjarnar skólms þess er var,faðir,Þórálfs
faðir,nken,Og þá er Einar,faðir,Ingimundar andaðist þá gaf Ingimundur Þorgilsi frænda sínum Reyknesingagoðorð sem fyrr var ritað og var þeirra frændsemi allar stundir góð meðan þeir lifðu báðir
faðir,nken,,faðir,Gerðar
faðir,nken,Þau voru systkin Úlfur jarl,faðir,Sveins konungs og Gyða móðir Tósta jarls
faðir,nken,Þorsteinn Oddleifsson var,faðir,Ísgerðar
faðir,nken,Guðbrandur kom til Þverár og sagði að,faðir,hans hafði hann þangað sent
faðir,nken,Ingibjörg og Þórar,faðir,hennar fóru til bæjar þess er Björn hafði átt
faðir,nken,» Bændur segja að þeir vilja að konungur blóti til árs þeim og friðar svo sem,faðir,hans gerði
